TYPE,APD_no,NAME,CODE,LAT,LONG,ALT,CNTRY,PUB YEAR,Region
APD Chron,181,GeoB 1008-3,GB1008-3,-6.5892,10.3175,-3124,Atlantic Ocean,1996,NA
APD Chron,229,ODP Site 175-1075,ODP1075,-4.7845,10.0717,-2995,Atlantic Ocean,2001,NA
APD Chron,178,GIK 16867-1 (Meteor),G16867-1,-2.202,5.1002,-3891,Atlantic Ocean,1994,Angola Basin
APD Chron,179,GIK 16867-2 (Meteor),G16867-2,-2.201,5.101,-3891,Atlantic Ocean,1994,Angola Basin
APD Chron,180,GIK 16867-3 (Meteor),G16867-3,-2.2,5.1,-3894,Atlantic Ocean,1995,Angola Basin
APD Chron,201,GIK 16772-2,M16772-2,-1.35,-11.957,-3912,Atlantic Ocean,1994,NA
APD Chron,115,KW 31,KW31,3.5183,5.5668,-1181,Atlantic Ocean,2005,Gulf of Guinea
APD Chron,186,GIK 16776-1,GIK16776,3.7348,-11.4,-4242,Atlantic Ocean,1998,Gulf of Guinea
APD Chron,224,KS 12,KS12,3.8677,-1.936,-2955,Atlantic Ocean,1993,Gulf of Guinea
APD Chron,215,GIK 16856-2,G16856-2,4.803,3.401,-2860,Atlantic Ocean,1996,Niger Delta
