"","Alchornea","Alstonia boonei","Blighia","Bridelia","Ceiba pentandra","Celtis","cf. Dasylepis","Chytranthus macrobotrys","Cleistanthus","Cynometra","DETARIOIDEAE","Diospyros","Drypetes","Ficus","FLACOURTIACEAE","Gilbertiodendron","Hannoa","Hannoa klaineana","Holoptelea grandis","Homalium","Hymenocardia","Leptaulus daphnoides","Lophira alata","Macaranga","Mallotus","MELIACEAE","Morelia senegalensis","Nesogordonia","Panda oleosa","Pandanus","Piptostigma","Podocarpus","Psydrax subcordata","Pycnanthus","Rinorea","Scytopetalum","Securinega","STERCULIOIDEAE","Strombosia","Syzygium guineense","Tessmannia","Tetrorchidium","Thomandersia hensii","Tieghemella","Trichilia","Trilepisium madagascariense","Triplochiton scleroxylon","Vepris","Allophylus","ANNONACEAE","Calycobolus","Capparis","CELASTRACEAE","Dichapetalum","GREWIOIDEAE","MENISPERMACEAE","MIMOSOID CLADE","Premna","SAPINDACEAE","Tabernaemontana","Uncaria","Zanthoxylum","AMARANTHACEAE","ASTERACEAE","CAPPARACEAE","CONVOLVULACEAE","EUPHORBIACEAE","Ipomoea","Lippia","MELASTOM/COMBRET","Melochia","MORACEAE","PASSIFLORACEAE","Phyllanthus","POLYGALACEAE","RUBIACEAE","Illigera","cf. Corchorus","COMMELINACEAE","Palisota","Peperomia","POACEAE","Cercestis","Vigna","Cyperaceae","Typha","Xyris","Borassus","Elaeis guineensis","ARECACEAE","monolet","Monolete A","Trilet","Selaginella","Degraded"
"1",52,6,0,0,0,58,38,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,4,42,0,0,0,1,0,6,0,0,0,13,0,0,0,0,0,2,0,1,0,0,0,1,4,0,0,0,1,0,0,0,5,0,0,0,4,0,0,0,0,2,0,5,2,0,0,27,0,0,0,0,0,0,2,0,0,0,0,17,0,0,212,0,0,0,0,2,981,102,4,61,10
"2",84,8,1,0,0,58,37,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,4,36,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,5,0,0,0,1,1,1,2,4,1,0,0,1,0,0,29,0,2,0,0,0,0,0,0,0,1,3,9,0,0,126,0,0,0,0,2,1616,140,4,192,2
"3",134,13,0,0,0,7,15,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,4,51,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,19,0,0,0,0,0,0,1,8,0,0,0,23,0,0,40,1,0,0,4,0,1563,102,4,119,1
"4",93,10,0,0,0,41,36,1,0,0,1,1,0,0,0,3,2,0,0,0,0,0,3,35,0,0,0,5,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,2,2,7,0,1,1,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,6,0,13,0,1,0,0,0,0,0,0,0,7,0,16,0,0,92,0,0,0,1,3,1285,147,12,159,10
"5",119,10,0,0,1,10,9,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,6,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,1,3,0,0,0,0,0,27,0,0,0,0,0,0,1,6,0,0,0,13,0,0,89,0,0,0,13,0,881,65,4,80,4
"6",91,6,0,0,0,22,45,0,1,0,2,0,0,0,1,7,0,0,0,0,1,0,2,40,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,6,0,2,0,1,0,0,0,19,0,0,0,0,0,0,2,1,3,0,0,1,3,5,7,1,0,0,0,0,0,3,1,0,0,1,10,0,0,105,0,0,0,7,5,1551,118,12,152,11
"7",123,12,0,0,2,15,15,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,3,56,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,2,0,0,1,1,4,0,0,0,2,0,0,6,0,2,1,3,1,5,0,17,0,0,1,0,0,0,0,3,0,0,0,10,0,0,59,0,0,0,10,0,1522,64,13,95,3
"8",68,10,0,0,0,18,41,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,31,0,0,0,1,0,1,10,0,0,2,0,0,2,0,2,0,0,1,1,0,0,0,2,0,0,5,0,0,0,0,19,0,0,0,2,0,0,0,0,3,1,1,0,8,1,11,0,1,0,0,0,0,4,0,0,1,0,22,0,0,104,0,7,0,7,0,849,148,16,88,22
"9",131,11,0,0,7,21,12,0,0,0,1,0,0,0,2,4,0,0,3,1,0,0,2,44,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,1,0,6,0,0,0,1,0,1,1,0,2,2,0,3,7,0,13,0,0,0,2,0,0,1,0,0,0,0,17,0,0,86,0,0,0,5,1,827,53,13,114,13
"10",69,4,0,0,3,35,19,0,0,1,3,1,0,0,0,6,0,0,0,0,0,0,5,24,1,0,0,2,0,1,9,0,0,0,0,0,0,2,1,0,0,7,4,1,2,0,5,0,0,14,0,0,0,0,13,0,0,0,1,0,1,2,0,1,0,0,0,5,0,13,0,0,0,0,0,1,5,0,0,0,1,21,0,1,119,0,0,0,10,3,953,125,9,119,12
"11",85,6,0,2,3,13,4,0,1,0,1,0,1,2,0,3,0,0,0,1,0,1,6,39,0,0,0,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,3,0,0,0,2,7,0,7,0,0,1,7,3,16,0,0,0,0,0,0,2,2,0,0,0,17,1,1,102,1,0,1,7,1,827,55,6,146,20
"12",59,9,0,1,5,28,20,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,6,24,0,0,0,0,2,1,5,0,0,0,0,0,2,0,0,1,1,3,0,0,0,1,6,1,0,12,0,0,0,0,3,0,5,0,2,0,2,0,1,6,1,0,0,8,0,13,0,0,0,2,0,0,4,0,0,0,0,32,0,0,109,0,3,0,5,1,602,83,3,106,13
"13",27,1,0,0,5,6,6,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,0,0,0,8,0,2,1,0,0,0,1,1,0,0,0,0,3,0,5,0,0,0,0,0,0,1,0,1,0,0,7,0,1,23,0,0,0,6,0,245,14,4,9,0
"14",76,6,0,0,7,16,15,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,4,25,1,0,0,2,0,2,2,0,0,3,0,0,1,0,0,1,0,2,0,0,0,0,7,0,0,9,0,0,1,0,9,0,4,0,1,0,1,1,0,1,1,3,0,2,0,21,0,1,0,0,3,0,1,1,1,0,1,25,0,2,80,3,0,0,2,3,420,27,2,40,28
