"","Depth (cm)","volume (ml)","Lycopodium added","Lycopodium counted","Aidia/Catunaregam","Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia","Dialium","Drypetes/Shirakia","Machaerium/Ormocarpum/Pterocarpus","Meliaceae undiff.","Nesogordonia","Olax","Parinari","Symphonia globulifera","Allophylus","Celtis","Pycnanthus","Zanthoxylum","Blighia","Bridelia/Cleistanthus","Capparis","Cola/Sterculia","Detarium","Diospyros","Dracaena","Elaeophorbia/Euphorbia","Erythrococca/Micrococca","Eugenia/Syzygium","Fabaceae - Caesalpiniaceae undiff.","Ficus","Hymenocardia","Vitex","Cassia/Cynometra/Erythrophleum/Copaifera/Monopetalanthus","Entada/Prosopis/Piptadeniastrum","Manilkara-type","Mimusops","Pandanus","Rhus/Anthrocaryon/Pseudospondias","Uapaca","Phoenix","Raphia","Alchornea","Combretaceae undiff.","Lophira alata","Cyperaceae undiff.","Nymphaea","Typha","Corynanthe/Hallea/Hymenodictyon/Mitragyna inermis/Nauclea/Pausinystalia/Sarcocephalus/Uncaria","Elaeis guineensis","Macaranga/Mallotus/Mareya","Myianthus/Musanga","Spathodea","Tetrorchidium","Trema","Anthocleista grandiflora","Borassus/Hyphaene","Hannoa","Lannea/Sclerocarya","Pouteria","Zizyphus","Gramineae Undiff.","Celastraceae/Hippocrateaceae undiff.","Stephania/Tiliacora","Annonaceae Undiff.","Malvaceae - Tiliaceae undiff.","Palmae Undiff.","Rubiaceae undiff.","Sessuvium","Bucholzia","Leptaulus","Afzelia","Piliostigma","Dichrostachys","Lamiaceae undiff.","Ochna","Polygala/Securidaca","Keetia/Psydrax","Holoptela grandis","Balanites","Fagonia","Heliotropium","Brassicaceae","Convolvulaceae undiff.","Indigofera","Lotus","Adenia","Plantago","Spermacoce/Diodia","Xyris","Sabicea","Cardiospermum","Amaranthaceae/Chenopodiaceae undiff.","Alstonia/Landolphia","Tabernaemontana","Ilex mitis","Bignoniaceae Undiff.","Canarium","Tessmannia","Mammea africana-type","Allanblackia","Aneulophus","Anthostema","Antidesma/Thecacoris","Martretia","Baphia/Millettia","Xylia-type","Caloncoba-type","Kirkia","Antiaris/Milicia/Morus","Ongokea gore","Strombosia","Panda oleosa","Medusandra","Coffea","Ixora-type","Teclea/Vepris","Aphania/Lecaniodiscus","Ganophyllum-type giganteum","Paullinia pinnata","Zanha","Triplochiton","Mangifera type","Asteraceae","Bombax","Ceiba pentandra","Discoglypremna caloneura","Tephrosia","Acacia","Premna","Rumex","Morinda lucida-type","Dichostemma","Gilbertiodendron/Isomacrolobium/Isoberlinia/Berlinia/Pelligriniodendron","Irvingia/Klainedoxa","Scaphopetalum","Prunus","Craterispermum","Rinorea","Loranthaceae undiff.","Moraceae Undiff.","Phyllantheae undiff.","Sapindaceae undiff."
"1",0,2,24200,14,0,1,0,0,7,1,1,0,0,0,2,2,0,1,3,0,0,13,0,0,6,0,0,0,4,0,0,2,0,0,0,0,1,0,1,7,19,7,7,4,0,2,0,5,3,63,14,0,0,1,1,0,2,0,0,0,4,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"2",5,2,24200,8,0,1,0,0,3,1,1,0,0,0,0,1,0,1,2,0,0,12,3,1,9,0,0,3,1,1,1,0,2,6,0,0,0,1,3,3,13,2,8,2,0,14,1,15,0,46,24,0,0,0,0,1,1,0,1,1,9,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3",10,2,24200,11,0,0,0,0,6,0,1,1,0,2,1,8,2,0,4,0,0,11,0,1,4,0,0,2,1,0,1,1,1,4,0,1,0,0,1,11,32,6,2,3,1,2,1,11,4,53,7,0,0,0,1,2,0,1,0,0,3,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"4",15,2,24200,2,0,2,0,0,12,0,0,1,0,0,2,3,0,0,2,0,0,14,0,0,21,0,0,0,2,0,2,0,0,1,0,0,0,0,0,4,5,4,2,2,0,9,2,6,2,52,21,0,1,1,0,2,0,0,1,2,5,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"5",20,2,25084,21,0,0,0,0,19,0,0,0,1,2,0,2,0,4,0,2,0,10,0,0,1,0,0,4,5,0,2,6,5,1,0,0,0,0,0,9,15,7,2,3,3,11,1,1,0,54,1,0,0,1,1,2,0,4,2,0,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0
"6",25,2,24200,1,1,0,0,0,19,1,0,1,0,1,0,4,1,1,4,0,0,6,0,1,10,0,0,1,2,1,0,6,1,1,0,3,0,0,0,0,5,11,2,4,1,9,0,7,3,72,4,0,1,1,0,3,2,0,1,0,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",30,2,25084,4,0,1,0,0,12,0,0,1,4,0,0,1,2,2,5,1,0,5,1,2,0,0,0,2,4,0,0,2,1,0,0,0,0,0,0,0,7,12,1,2,0,2,1,9,2,95,7,0,2,0,2,0,0,2,0,5,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
"8",35,2,24200,4,0,0,0,0,7,0,0,0,0,1,0,1,2,4,1,1,0,2,0,0,5,0,0,0,2,0,1,3,0,0,0,0,0,1,0,1,4,19,1,6,1,6,0,9,0,99,7,0,0,0,0,2,0,1,0,2,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"9",40,2,25084,12,0,0,0,0,17,0,0,0,4,0,0,7,1,3,6,0,0,7,1,2,0,0,0,1,3,0,0,1,2,0,0,0,0,0,1,0,5,15,0,1,0,7,0,7,0,88,5,0,1,0,0,0,0,1,0,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10",45,2,24200,17,1,1,0,0,8,0,2,0,0,1,0,2,0,1,0,0,0,6,1,1,5,0,0,1,1,0,0,1,0,2,0,4,0,2,1,1,16,21,2,6,1,10,0,6,1,77,7,0,0,1,0,0,0,0,0,1,5,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
