"","cal_yrBP","depth"
"1",66,9.5
"2",166,19.5
"3",259,29.5
"4",358,39.5
"5",456,49.5
"6",552,59.5
"7",642,69.5
"8",728,79.5
"9",885,89.5
"10",1026,99.5
"11",1183,109.5
"12",1337,119.5
"13",1478,129.5
"14",1631,139.5
"15",1779,149.5
"16",2036,151.5
"17",2293,155.5
"18",2550,159.5
"19",2688.5,161.5
"20",2827,164.5
"21",3040,169.5
"22",3241,174.5
"23",3455,179.5
"24",3726,184.5
"25",3958,189.5
"26",4175,194.5
"27",4397,199.5
"28",4611,204.5
"29",4816,209.5
"30",4871,211.5
"31",4905,213.5
"32",4940,215.5
"33",4983,217.5
"34",5019,219.5
"35",5062,221.5
"36",5084,223.5
"37",5144,225.5
"38",5187,227.5
"39",5228,229.5
"40",5272,231.5
"41",5316,233.5
"42",5360,235.5
"43",5401,237.5
"44",5440,239.5
"45",5483,241.5
"46",5526,243.5
"47",5570,245.5
"48",5650,247.5
"49",5732,249.5
"50",5830,255.5
"51",5889,257.5
"52",5943,259.5
"53",6010,261.5
"54",6082,263.5
"55",6145,265.5
"56",6217,267.5
"57",6291,269.5
"58",6354,271.5
"59",6412,273.5
"60",6473,275.5
"61",6538,277.5
"62",6601,279.5
"63",6668,281.5
"64",6733,283.5
"65",6797,285.5
"66",6866,287.5
"67",6942,289.5
"68",7006,291.5
"69",7073,293.5
"70",7140,295.5
"71",7204,297.5
"72",7269,299.5
"73",7553,309.5
"74",7708,319.5
"75",7878,329.5
"76",8046,339.5
"77",8212,349.5
"78",8353,359.5
"79",8499,369.5
"80",8652,379.5
"81",8793,389.5
"82",8946,399.5
"83",9127,409.5
"84",9336,419.5
"85",9546,429.5
"86",9766,439.5
"87",9974,449.5
"88",10130,459.5
"89",10280,469.5
"90",10433,479.5
"91",10582,489.5
"92",10727,499.5
"93",10853,509.5
"94",10976,519.5
"95",11102,529.5
"96",11223,539.5
"97",11333,549.5
"98",11481,559.5
"99",11633,569.5
"100",11785,579.5
"101",11927,589.5
"102",12068,599.5
"103",12329,609.5
"104",12649,619.5
"105",12965,629.5
"106",13281,639.5
"107",13588,649.5
"108",13821,659.5
"109",14037,669.5
"110",14264,679.5
"111",14492,689.5
"112",14729,699.5
"113",14899,709.5
"114",15048,719.5
"115",15205,729.5
"116",15354,739.5
"117",15510,749.5
