"","Aeschynomene baumii-type","Alangium chinense","Albizia-type","Alchornea","Alstonia-type boonei","Annona senegalensis-type","Anogeissus-type leiocarpus","Anopyxis klaineana","Anthocleista","Antidesma-type venosum","Aphania-type senegalensis","Apodytes dimidiata","Bersama abyssinica-type","Blighia sapida-type","Bridelia ferruginea-type","Brucea antidysenterica-type","Campylospermum","Carapa-type procera","Ceiba pentandra","Celtis","Clausena anisata","Combretum-type molle","Commiphora africana-type","Cordia platythyrsa-type","Cupressaceae undiff.","Cussonia arborea-type","Diospyros","Dodonaea viscosa-type","Dombeya-type","Dracaena","Ekebergia-type","Ericaceae undiff.","Erythrococca-type","Eucalyptus-type","Ficus","Flacourtia","Flueggea virosa-type","Ganophyllum-type giganteum","Garcinia livingstonei-type","Gnidia-type glauca","Harungana madagascariensis-type","Holoptelea grandis","Hylodendron gabunense","Hymenocardia","Hymenodictyon-type floribundum","Ilex mitis","Isoberlinia-type","Ixora-type brachypoda","Justicia-type odora","Lannea-type","Lophira","Macaranga-type","Maerua-type","Maesa lanceolata-type","Mallotus-type oppositifolius","Mansonia altissima-type","Margaritaria discoidea","Milicia-type excelsa","Morelia senegalensis","Myrianthus-type arboreus","Myrica","Myrsine africana","Myrtaceae undiff.","Nauclea-type latifolia","Nuxia-type congesta","Olea capensis-type","Ozoroa-type insignis","Pappea capensis","Parinari-type","Pausinystalia-type macroceras","Pavetta gardeniifolia-type","Plagiostyles-type africana","Podocarpus-type milanjianus","Polyscias fulva-type","Protea-type","Prunus africana-type","Pycnanthus angolensis-type","Rapanea melanophloeos-type","Rauvolfia","Santiria-type trimera","Schefflera","Shirakia-type elliptica","Sorindeia-type juglandifolia","Syzygium-type guineense","Syzygium-type staudtii","Tetrorchidium","Trema-type orientalis","Trilepisium-type madagascariensis","Triplochiton scleroxylon-type","Uapaca","Uapaca guineensis-type","Vangueria-type madagascariensis","Vepris-type","Xylia-type","Zanha golungensis-type","Zanthoxylum-type gilletii","Acacia ehrenbergiana-type","Acacia kamerunensis-type            ","Acridocarpus","Allophylus","Asparagus","Celastraceae undiff.","Celastraceae/Hippocrateaceae undiff.","Clematis-type","Combretaceae undiff.","Embelia-type","Entada-type","Grewia-type","Keetia-type gueinzii","Lantana-type viburnoides","Macrosphyra-type","Pavetta","Psydrax-type schimperiana","Rhamnaceae undiff.","Rubus pinnatus-type","Sapotaceae undiff.","Schefflera-1","Zanthoxylum-type","Tapinanthus-type","Elaeis guineensis","Phoenix reclinata-type","Flabellaria-type paniculata","Sericostachys-type scandens","Uncaria-type africana","Abutilon","Acalypha","Acanthaceae undiff.","Acanthus-type","Anthospermum asperuloides-type","Apiaceae undiff.","Apocynaceae undiff.","Artemisia","Asteraceae undiff.","Brassicaceae undiff.","Cassia-type","Chenopodiaceae undiff.","Cichorieae undiff.","Combretaceae/Melastomataceae undiff.","Croton-type","Dyschoriste-type","Erythrina","Euphorbiaceae undiff.","Euphorbia-type","Fabaceae undiff.","Gentianaceae undiff.","Hypericum","Isoglossa","Lamiaceae undiff.","Lythraceae undiff.","Melastomataceae undiff.","Mimulopsis-type","Monocotyledoneae undiff.","Moraceae undiff.","Phyllanthus-type","Rubiaceae undiff.","Rumex","Senecio-type","Sida","Solanaceae undiff.","Steganotaenia-type araliacea","Tiliaceae undiff.","Undetermined","Urticaceae undiff.","Vernonieae undiff.","Achyranthes-type aspera","Aerva-type lanata","Alchemilla","Anagallis","Asystasia gangetica-type","Basilicum-type polystachyon","Brachystephanus","Campanula-type","Carduus-type","Celosia-type trigyna","Cerastium-type","Commelina-type benghalensis","Commelina-type forskalaei","Crassocephalum-type montuosum","Cyathula-type","Dipsaceae undiff.","Galium-type","Guizotia-type","Heterotis-type canescens","Hygrophila","Hypoestes-type aristata","Impatiens","Justicia anselliana-type","Justicia striata-type","Justicia-type flava","Kalanchoe","Kniphofia-type reflexa","Laportea-type aestuans","Lepidagathis","Lobelia","Lysimachia","Micrococca-type mercurialis","Plantago lanceolata-type","Poaceae undiff.","Primulaceae undiff.","Ranunculus-type","Sebaea brachyphylla-type","Silene-type","Spermacoce-type","Stipularia-type africana","Swertia-type abyssinica","Trifolium-type","Sinarundinaria alpina","Begonia","Cissus quadrangularis-type","Cucurbitaceae undiff.","Cyphostemma-type cyphopetalum","Stephania-type abyssinica","Vigna-type","Ascolepis","Crinum natans-type","Cyperaceae undiff.","Drosera","Eriocaulaceae undiff.","Hydrocotyle","Laurembergia tetrandra","Limnophyton-type obtusifolium","Nymphaea lotus-type","Onagraceae undiff.","Polygonum senegalense-type","Potamogeton thunbergii-type","Typha","Xyris","Cyathea camerouniana-type","Cyathea manniana-type","Lycopodiaceae undiff.","Monoletes undiff.","Monoletes undiff.-1","Osmunda regalis","Pteridium-type aquilinum","Pteris-type dentata","Pteris-type pteridioides","Triletes undiff."
"1",0,0,1,2,0,0,0,0,1,0,0,0,1,1,14,0,1,0,0,1,0,6,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,4,2,0,0,7,2,7,0,0,0,0,5,3,0,3,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,3,0,1,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,3,2,0,0,8,0,0,0,2,0,0,0,0,0,1,161,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,285,0,0,0,0,0,0,0,0,0,0,0,0,7,1,113,26,1,80,0,4,0
"2",0,0,0,4,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,7,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,119,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,243,0,3,0,1,0,0,0,0,2,0,3,0,14,2,69,28,0,30,1,4,0
"3",0,0,0,4,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,2,0,1,4,5,0,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,3,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,4,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,2,169,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,305,0,0,0,0,0,2,1,0,1,4,1,0,10,0,105,14,0,20,0,8,0
"4",0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,0,0,0,0,0,1,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,2,0,0,0,1,0,0,0,1,0,0,2,0,159,10,0,3,0,0,0
"5",0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,2,0,0,0,1,0,0,0,0,0,0,0,0,252,5,2,8,0,0,0
"6",0,0,1,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,0,1,0,1,3,0,0,0,1,1,0,2,0,325,11,3,3,0,2,0
"7",0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,1,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,728,0,0,0,0,0,0,0,1,1,0,0,0,1,0,696,11,8,7,0,1,0
"8",0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2,0,0,5,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,686,0,0,0,0,0,0,0,0,0,2,0,0,1,0,701,7,11,6,0,0,0
"9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,624,0,2,0,0,0,0,0,0,0,0,0,0,0,2,333,19,6,4,0,0,0
"10",0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,8,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,587,0,0,0,1,0,3,0,0,0,0,0,0,0,0,326,5,0,6,0,0,0
