"","Acalypha spp.","Alchornea spp.","Alismataceae undiff.","Allophyllus spp.","Alstonia comp.","Anthocleista spp.","Antidesma type","Asplenium spp.","Asteraceae undiff.","Bignoniaceae undiff.","Bosqueia angolensis","Burseraceae undiff.","Calamus spp.","Canarium schweinfurthii","Capparidaceae undiff.","Cardiospermum comp.","Ceiba pentandra","Celastraceae undiff.","Celtis spp.","Chlorophora spp.","Cissus comp.","Combretaceae/Melastomataceae","Coulea comp.","Crudia spp.","Cyperaceae undiff.","Diospyros spp.","Elaeis guineensis","Ericaceae undiff.","Gaertnera spp.","Gilbertiodendron comp.","Holoptelia grandis","Icacinaceae undiff.","Ilex spp.","Irvingiaceae undiff.","Lamiaceae undiff.","Lannea comp.","Lasianthus spp.","Leptonychia spp.","Lophira comp.","Loranthaceae undiff.","Lythraceae undiff.","Macaranga spp.","Mallotus/Tabernaemontana","Malvaceae undiff.","Maytenus comp.","Meliaceae undiff.","Monolete (areolate)","Monolete (echinate)","Monolete (reticulate)","Monolete (scabrate)","Monolete (smooth)","Monolete (verrucate)","Moraceae undiff.","Musanga comp.","Myrtaceae undiff.","Nauclea spp.","Olacaceae undiff.","Olax spp.","Palmae undiff.","Pandanus candelabrum","Phyllanthus spp.","Poaceae undiff.","Podocarpus milanjianus","Proteaceae/Sapindaceae","Pteris spp.","Pterolobium comp.","Pycnanthus angolensis","Raphia comp.","Rauvolfia spp.","Rhizophoraceae undiff.","Sapotaceae undiff.","Selaginella spp.","Symphonia globulifera","Teclea comp.","Trema spp.","Trichoscypha cf. congoensis","Trichoscypha/Sclerocarya","Trilete Spores","Triplochiton spp.","Uapaca spp.","Uncaria spp.","Undetermined Pollen","Urticaceae/Moraceae","Vitex spp.","Ximenia comp.","Zizyphus spp."
"1",3,52,1,1,0,0,10,0,1,2,17,0,1,0,2,0,21,0,3,0,5,10,5,0,1,0,44,0,0,1,0,0,0,2,0,0,0,0,18,0,0,22,1,0,0,3,0,1,0,0,14,8,0,9,0,6,1,0,3,0,4,27,1,0,1,0,13,13,1,5,1,0,0,0,1,0,16,0,0,15,7,10,65,3,0,0
"2",0,32,5,0,0,3,0,0,3,1,37,1,0,1,1,0,36,1,8,0,11,1,0,0,2,0,115,0,0,0,5,6,0,0,0,0,0,1,2,1,0,3,0,0,2,6,1,0,0,0,6,32,0,4,0,2,2,0,0,0,5,54,0,2,0,0,27,0,0,15,3,0,0,2,1,0,25,4,1,16,1,30,13,0,0,0
"3",2,70,0,2,0,0,8,0,3,0,5,0,1,4,3,0,14,0,13,1,10,7,5,0,3,0,32,0,2,0,2,0,1,6,0,0,0,0,16,0,0,18,2,0,2,0,2,0,0,3,6,18,0,12,0,4,0,0,2,0,1,32,0,1,1,0,4,5,0,10,3,0,0,0,4,0,18,0,0,12,5,26,79,1,0,4
"4",0,129,0,0,0,0,0,0,0,0,8,0,0,1,1,0,8,3,12,2,2,4,2,1,5,0,111,0,1,1,5,0,0,0,0,0,0,0,2,0,0,3,6,0,3,0,1,0,0,2,7,12,0,3,0,1,0,0,0,0,7,32,1,0,0,0,5,0,0,16,3,0,0,2,11,0,14,2,0,14,2,16,28,2,0,0
"5",7,49,0,0,0,0,8,0,1,0,25,0,0,5,0,0,13,3,10,0,5,4,1,0,0,0,144,0,0,0,1,0,1,8,0,0,1,0,14,1,0,41,6,0,0,0,1,0,0,0,9,9,0,22,2,2,0,0,0,1,10,26,0,0,1,0,46,2,0,7,4,0,0,0,8,0,13,0,0,18,20,50,22,4,0,0
"6",0,99,1,3,0,1,6,0,2,0,20,1,0,1,5,0,1,3,23,8,8,3,0,0,1,1,65,0,0,0,6,1,1,2,0,0,2,0,3,0,0,9,2,0,1,3,0,0,1,1,4,14,3,8,0,1,1,2,0,0,6,47,0,0,0,0,6,2,0,10,1,0,0,2,15,0,6,0,1,25,1,16,40,1,3,0
"7",0,72,0,3,0,3,13,0,0,1,18,0,0,6,4,0,4,1,13,1,1,3,0,0,6,5,127,0,1,0,1,0,3,7,0,0,0,0,5,1,0,9,3,0,0,2,1,0,0,0,11,16,1,6,1,9,1,0,7,2,4,48,0,1,0,0,7,2,1,15,2,2,0,0,20,0,8,2,1,25,3,14,21,2,0,0
"8",0,25,0,2,0,5,0,1,3,0,57,0,0,4,0,0,3,2,13,0,1,0,0,0,11,0,22,2,0,1,2,0,0,1,0,0,0,0,4,0,0,0,0,1,1,1,0,0,1,3,8,34,0,4,0,1,0,0,0,0,13,177,2,0,0,0,0,0,0,9,0,0,0,0,2,0,3,6,0,3,1,17,16,2,0,0
"9",1,77,0,0,0,0,10,0,9,0,9,0,0,7,0,0,2,5,15,5,2,1,0,0,5,0,21,0,0,0,0,0,2,3,0,0,0,0,22,0,0,11,1,0,0,0,2,0,0,0,11,58,0,17,0,1,2,0,0,0,0,211,0,0,1,1,3,6,0,10,2,2,0,0,1,0,1,3,0,6,7,24,27,0,0,0
"10",1,69,0,0,0,0,3,2,4,0,8,0,0,6,0,0,3,0,6,45,1,3,1,0,4,1,7,0,1,0,0,0,0,0,0,0,0,0,6,0,0,10,2,0,1,0,7,0,0,9,8,38,0,15,0,4,0,0,0,0,2,145,1,0,1,1,7,0,0,12,1,0,0,0,1,0,3,1,0,1,0,12,38,0,0,0
"11",0,92,0,0,0,7,0,0,2,2,20,0,0,3,0,0,1,1,12,49,1,1,0,0,3,0,13,0,0,0,0,0,1,2,0,0,0,0,9,0,0,8,2,0,1,4,2,0,0,4,13,20,1,41,0,4,0,0,0,0,8,43,0,1,0,0,1,0,0,6,1,0,0,0,9,0,20,4,0,16,1,15,56,1,0,0
"12",11,26,0,0,0,0,7,0,0,2,0,0,0,9,0,0,5,9,17,0,10,11,0,0,1,1,0,0,1,8,1,0,0,4,0,0,0,0,21,0,0,11,5,0,2,0,0,0,0,0,9,19,0,79,3,1,0,1,6,2,4,6,4,0,0,0,7,9,0,2,4,0,0,0,0,0,7,1,0,27,29,41,18,7,0,0
