"","cal_yrBP","depth"
"1",9566,279.5
"2",9767,284.5
"3",9968,289.5
"4",10169,294.5
"5",10370,299.5
"6",10571,304.5
"7",10772,309.5
"8",10973,314.5
"9",11174,319.5
"10",11375,324.5
"11",11576,329.5
"12",11777,334.5
"13",11978,339.5
"14",12179,344.5
"15",12380,349.5
"16",12581,354.5
"17",12782,359.5
"18",12801.8,364.5
"19",12821.6,369.5
"20",12841.4,374.5
"21",12861.2,379.5
"22",12881,384.5
"23",12900.8,389.5
"24",12920.6,394.5
"25",12940.4,399.5
"26",12960.2,404.5
"27",12980,414.5
"28",13319.8,419.5
"29",13659.6,424.5
"30",13999.4,429.5
"31",14339.2,434.5
"32",14679,439.5
"33",15018.8,444.5
"34",15358.6,449.5
"35",15698.4,454.5
"36",16038.2,459.5
"37",16717.8,469.5
"38",16813,474.5
