"","cal_yrBP","depth"
"1",150.92067,5
"2",214.39953,11
"3",266.390172,15.95
"4",320.117341,21.1
"5",406.953265,29.5
"6",453.06616,34
"7",579.670035,46.5
"8",604.72831,49
"9",671.453007,55.7
"10",824.376843,71.3
"11",887.089558,77.8
"12",976.735572,87.2
"13",1005.085602,90.2
"14",1040.81476,94
"15",1081.001313,98.3
"16",1107.493944,101.15
"17",1152.31648,106
"18",1261.8022,118
"19",1320.265215,124.5
"20",1386.103089,131.9
"21",1484.291361,143.1
"22",1547.343724,150.4
"23",1587.544281,155.1
"24",1626.590047,159.7
"25",1696.2927,168
"26",1717.098475,170.5
"27",1754.32837,175
"28",1836.04647,185
"29",1906.800318,193.8
"30",1973.326722,202.2
"31",2040.413688,210.8
"32",2058.950832,213.2
"33",2114.838975,220.5
"34",2196.154443,231.3
"35",2211.776154,233.4
"36",2307.832035,246.5
"37",2390.1756,258
"38",2425.39965,263
"39",2556.05904,282
"40",2632.687105,293.5
"41",2652.372535,296.5
"42",2664.774804,298.4
"43",2699.103487,303.7
"44",2738.762469,309.9
"45",2799.108165,319.5
"46",2846.577972,327.2
"47",2933.715867,341.7
"48",3006.185574,354.15
"49",3050.76384,362
"50",3090.892392,369.2
"51",3165.77685,383
"52",3210.574485,391.5
"53",3270.582732,403.2
"54",3341.323545,417.5
"55",3402.915817,430.45
"56",3452.261112,441.2
"57",3541.877067,461.7
"58",3600.100338,475.8
"59",3640.095429,485.9
"60",3646.300245,487.5
"61",3693.910731,500.1
"62",3746.995519,514.9
"63",3792.083982,528.2
"64",3812.256364,534.4
"65",3842.42926,544
"66",3867.476253,552.3
"67",3891.843057,560.7
"68",3923.868453,572.3
"69",3944.857333,580.3
"70",3962.981245,587.5
