"","cal_yrBP","depth"
"1",-0.921052632,10.5
"2",52.48746867,20.5
"3",105.89599,30.5
"4",159.3045113,40.5
"5",212.7130326,50.5
"6",266.1215539,60.5
"7",319.5300752,70.5
"8",372.9385965,80.5
"9",426.3471178,90.5
"10",479.7556391,100.5
"11",533.1641604,110.5
"12",586.5726817,120.5
"13",639.981203,130.1
"14",693.3897243,140.5
"15",746.7982456,150.5
"16",800.2067669,160.5
"17",853.6152882,170.5
"18",907.02381,180.5
"19",960.4323308,190.5
"20",1015.01,200.5
"21",1080.11,210.5
"22",1145.21,220.5
"23",1210.31,230.5
"24",1275.41,240.5
"25",1340.51,250.5
"26",1405.61,260.5
"27",1470.71,270.5
"28",1535.81,280.5
"29",1600.91,290.5
"30",1665.03,300.5
"31",1720.33,310.5
"32",1775.63,320.5
"33",1830.93,330.5
"34",1886.23,340.5
"35",1941.53,350.5
"36",1996.83,360.5
"37",2052.13,370.5
"38",2107.43,380.5
"39",2162.73,390.5
"40",2213.78,400.5
"41",2226.58,410.5
"42",2239.38,420.5
"43",2252.18,430.5
"44",2264.98,440.5
"45",2277.78,450.5
"46",2290.58,460.5
"47",2303.38,470.5
"48",2316.18,480.5
"49",2328.98,490.5
"50",2343.085,500.5
"51",2368.935,510.5
"52",2394.785,520.5
"53",2420.635,530.5
"54",2446.485,540.5
"55",2472.335,550.5
"56",2498.185,560.5
"57",2524.035,570.5
"58",2549.885,580.5
"59",2575.735,590.5
"60",2607.07,600.5
"61",2687.77,610.5
"62",2768.47,620.5
"63",2849.17,630.5
"64",2929.87,640.5
"65",3010.570068,650.5
"66",3091.27002,660.5
"67",3171.969971,670.5
"68",3252.669922,680.5
"69",3333.370117,690.5
"70",3373.72,695.5
"71",3434.949951,700.5
"72",3579.699951,705.5
"73",3724.449951,710.5
"74",3869.199951,715.5
"75",4013.949951,720.5
"76",4158.700195,725.5
"77",4303.450195,730.5
"78",4448.200195,735.5
"79",4592.950195,740.5
"80",4737.700195,745.5
"81",4882.450195,750.5
"82",5027.200195,755.5
"83",5171.950195,760.5
"84",5316.700195,765.5
"85",5461.450195,770.5
"86",5606.200195,775.5
"87",5750.950195,780.5
"88",5924.649902,786.5
"89",6040.450195,790.5
"90",6185.200195,795.5
"91",6318.839844,800.5
"92",6497.240234,810.5
"93",6675.640137,820.5
"94",6854.040039,830.5
"95",7032.439941,840.5
"96",7210.839844,850.5
"97",7389.240234,860.5
"98",7567.640137,870.5
"99",7746.040039,880.5
"100",7924.439941,890.5
"101",8094.899902,900.5
"102",8193.900391,910.5
"103",8292.900391,920.5
"104",8391.900391,930.5
"105",8490.900391,940.5
"106",8589.900391,950.5
"107",8688.900391,960.5
"108",8787.900391,970.5
"109",8886.900391,980.5
"110",8985.900391,990.5
"111",9099.790039,1000.5
"112",9347.69043,1010.5
"113",9595.589844,1020.5
"114",9843.490234,1030.5
"115",10091.38965,1040.5
"116",10339.29004,1050.5
"117",10587.19043,1060.5
"118",10835.08984,1070.5
"119",11082.99023,1080.5
"120",11330.88965,1090.5
"121",11572.4541,1100.5
"122",11757,1110.5
"123",11941.5459,1120.5
"124",12126.09082,1130.5
"125",12310.63672,1140.5
"126",12495.18164,1150.5
"127",12679.72754,1160.5
"128",12864.27246,1170.5
"129",12956.5459,1175.5
"130",13048.81836,1180.5
"131",13141.09082,1185.5
"132",13233.36328,1190.5
"133",13325.63672,1195.5
"134",13602.53516,1199.5
"135",13722.1748,1204.5
"136",13841.81348,1209.5
"137",13985.38086,1215.5
"138",14081.0918,1219.5
"139",14200.73145,1224.5
"140",14320.37109,1229.5
"141",14463.9375,1235.5
"142",14559.64941,1239.5
"143",14703.2168,1245.5
"144",14798.92969,1249.5
"145",14900,1169.5
"146",15496.8355,1179.5
"147",15706.5255,1189.5
"148",15916.2155,1199.5
"149",16115.08008,1304.5
"150",16234.73047,1309.5
"151",16378.30957,1315.5
"152",16474.0293,1319.5
"153",16593.67969,1324.5
"154",16713.33008,1329.5
"155",16856.91016,1335.5
"156",16952.63086,1339.5
"157",17096.21094,1345.5
"158",17191.92969,1349.5
"159",17218.5,1249.5
"160",17431.5,1259.5
"161",17644.5,1269.5
"162",17857.5,1279.5
"163",18070.5,1289.5
"164",18167.3,1294.5
"165",18436.6,1309.5
"166",18589.7,1319.5
"167",18742.8,1329.5
"168",18895.9,1339.5
"169",19049,1349.5
"170",19225.66667,1359.5
"171",19402.33333,1369.5
"172",19579,1379.5
"173",19755.66667,1389.5
"174",19932.33333,1399.5
"175",20109,1409.5
