"","Depth (cm)","Volume (ml)","Lycopodium added","Lycopodium counted","concentration/ml","INDETERMINATE","Afzelia","Apiaceae undiff.","Balanites","Barleria","Bucholzia","Capparis","Commiphora","Daniella","Detarium","Dichrostachys","Elaeophorbia/Euphorbia","Erythrococca/Micrococca","Fabaceae - Mimosoideae Undiff.","Hildegardia","Holoptela grandis","Keetia/Psydrax","Lamiaceae undiff.","Leptaulus","Napoleona","Ochna","Oleaceae undiff.","Oncoba dentata","Piliostigma","Polygala/Securidaca","Adenia","Caryophyllaceae undiff.","Convolvulaceae Undiff.","Indigofera","Justicia-type","Lotus","Peperomia","Polycarpaea-type","Scrophulariaceae undiff.","Sesamum","Trichodesma","Crinium sp.","Bassiea","Cardiospermum","Illigera","Malpighiaceae undiff.","Sabicea","Tylophora","Aidia/Catunaregam","Albizia/Cathormion","Alstonia/Landolphia","Aneulophus","Anthostema","Aphania/Lecaniodiscus","Baphia/Millettia","Canarium","Centroplacus glaucinus","Connaraceae undiff.","Cordia","Crudia/Anthonotha/Microberlinia","Dasylepis","Dialium","Dichapetalum","Dicranolepis","Drypetes/Shirakia","Eremospatha","Eriocoelum","Funtumia/Holarrhena/Strophanthus","Gaertnera","Garcinia","Guibourtia","Icacinaceae undiff.","Ixora-type","Kirkia","Laccosperma","Machaerium/Ormocarpum/Pterocarpus","Martretia","Medusandra","Ongokea gore","Panda oleosa","Parinari","Paullinia","Podocarpus","Protea-type","Psychotria","Rapanea","Santiria","Strombosia","Strombosiopsis","Symphonia globulifera","Tabernaemontana","Teclea/Vepris","Tessmannia","Tetracera","Tetrapleura","Tricoscypha/Sorindeia-type juglandifolia","Turraeanthus","Ulmaceae undiff.","Xylia-type","Mangifera type","Morinda lucida-type","Premna","Rumex","Salvadora","Spathodea","Tephrosia","Brachystegia","Calamus","Casaeria","Craterispermum","Dichostemma","Manilkara-type","Rinorea","Spondias","Ericaceae undiff.","Phyllantheae undiff.","Rutaceae undiff.","Tiliaceae undiff.","Blighia","Bridelia/Cleistanthus","Cola/Sterculia","Diospyros","Dracaena","Eugenia/Syzygium","Fabaceae - Caesalpiniaceae undiff.","Fagonia","Ficus","Hymenocardia","Parkia","Sessuvium","Vitex","Brassicaceae Undiff.","Gramineae Undiff.","Heliotropium","Plantago","Cyperaceae undiff.","Nymphaea","Typha","Xyris","Celastraceae/Hippocrateaceae undiff.","Stephania/Tiliacora","Boswellia/Dacryodes","Mammea-type","Antiaris/Milicia/Morus","Antidesma/Thecacoris","Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia","Meliaceae undiff.","Nesogordonia","Olax","Triplochiton","Borassua/Hyphaene","Elaeis guineensis","Palmae Undiff.","Phoenix","Raphia","Acacia","Alchornea","Amaranthaceae/Chenopodiaceae undiff.","Anthocleista grandiflora","Asteraceae","Bombax","Ceiba pentandra","Corynanthe/Hallea/Hymenodictyon/Mitragyna inermis/Nauclea/Pausinystalia/Sarcocephalus/Uncaria","Hannoa","Lannea/Sclerocarya","Macaranga/Mallotus/Mareya","Pouteria","Trema","Zizyphus","Cassia/Cynometra/Erythrophleum/Copaifera/Monopetalanthus","Entada/Prosopis/Piptadeniastrum","Gilbertiodendron/Isomacrolobium/Isoberlinia/Berlinia/Pelligriniodendron","Irvingia/Klainedoxa","Lophira alata","Mimusops","Pandanus","Piptostigma","Prunus","Rhus/Anthrocaryon/Pseudospondias","Scaphopetalum","Terminalia","Uapaca","Allophylus","Celtis","Myianthus/Musanga","Pycnanthus","Tetrorchidium","Zanthoxylum","Annonaceae Undiff.","Combretaceae undiff.","Malvaceae - Tiliaceae undiff.","Moraceae Undiff.","Rubiaceae undiff.","Sapindaceae undiff.","Sapotaceae Undiff.","Vitaceae undiff."
"1",5,2,24200,24,203179,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,3,2,4,1,0,2,0,6,0,3,0,0,0,0,0,49,5,0,1,0,0,0,1,0,0,1,6,1,0,6,0,21,0,3,0,0,2,5,1,8,17,1,11,0,5,4,1,3,3,0,0,0,1,0,0,18,100,5,25,37,1,1,7,0,8,0,0,0,0,0,0
"2",10,2,24200,67,72239,23,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,2,7,2,3,3,0,6,1,17,0,1,6,0,2,0,0,35,1,1,3,0,0,0,0,0,0,5,3,0,0,2,0,15,0,1,0,2,0,10,0,7,18,1,6,0,2,2,2,3,7,0,0,0,1,2,0,15,86,0,25,31,2,0,1,0,12,0,5,0,0,0,0
"3",15,2,24200,41,120115,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,2,1,5,5,1,1,10,3,4,0,15,0,0,3,0,1,0,3,36,1,0,1,3,0,3,0,0,1,0,3,3,4,5,1,9,0,0,0,0,0,6,0,8,9,0,12,0,6,5,3,2,3,0,1,0,2,1,0,34,77,2,29,36,0,0,3,0,7,0,0,3,0,0,0
"4",20,2,24200,50,97284,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,4,0,0,3,0,4,1,12,0,2,1,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,3,2,0,4,10,0,1,5,0,1,1,9,2,6,15,0,12,0,2,15,0,3,6,0,0,0,1,1,0,49,94,0,27,30,0,0,5,0,5,1,1,1,0,0,2
"5",25,2,24200,44,119900,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,0,2,3,0,3,3,0,4,0,14,0,7,1,0,0,0,1,44,5,0,0,0,0,0,1,2,0,2,5,0,3,3,0,8,0,5,0,1,3,7,3,12,21,0,6,0,3,3,1,1,6,0,1,0,0,0,0,35,91,0,31,44,1,1,3,3,7,2,0,4,0,0,0
"6",30,2,24200,66,75900,12,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,2,1,6,2,0,2,0,19,1,0,1,1,1,0,0,30,3,0,0,1,0,0,1,0,1,1,3,1,0,6,0,7,0,3,0,1,2,5,2,5,15,5,6,4,8,49,2,1,5,0,0,0,0,1,0,15,89,0,33,34,1,1,3,0,2,0,2,2,0,0,0
"7",35,2,24200,99,48522,24,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,1,0,0,0,1,1,2,1,2,0,36,0,2,4,0,1,0,0,31,0,0,2,1,1,0,1,1,0,5,6,2,5,6,0,14,0,2,0,0,0,9,2,4,20,2,9,0,2,4,3,3,7,1,1,1,0,3,6,16,50,1,23,39,4,2,1,0,5,0,1,2,0,0,0
"8",40,2,24200,102,50298,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,3,0,1,7,0,43,0,2,4,0,1,0,0,13,4,0,0,1,1,1,4,3,0,5,6,2,5,14,0,10,0,5,1,1,2,5,0,7,14,1,5,1,2,13,0,4,3,1,0,0,2,0,0,7,75,1,42,54,1,1,6,6,5,0,2,0,0,0,0
"9",45,2,24200,66,76817,31,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,2,0,1,0,1,0,3,2,2,66,0,0,12,0,7,2,1,0,1,2,12,4,0,0,0,11,0,4,6,1,0,7,0,36,0,1,2,0,0,2,2,2,7,0,1,1,6,7,0,0,8,1,9,14,0,2,0,12,22,0,13,34,4,1,3,0,6,1,17,0,0,2,0
"10",50,2,24200,98,50499,33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,1,7,5,6,1,4,4,17,0,5,5,2,4,3,3,12,3,0,6,1,0,1,0,1,0,0,5,1,0,10,0,15,0,5,0,1,1,6,2,6,15,1,8,0,2,11,1,3,1,2,5,0,0,1,2,3,78,0,23,24,3,0,8,0,8,2,11,1,1,0,0
