"","cal_yrBP","depth"
"1",-5,0
"2",23,5
"3",50,10
"4",78,15
"5",106,20
"6",134,25
"7",161,30
"8",189,35
"9",217,40
"10",244,45
"11",272,50
"12",300,55
"13",327,60
"14",344,65
"15",360,70
"16",376,75
"17",392,80
"18",409,85
"19",425,90
"20",441,95
"21",457,100
"22",473,105
"23",490,110
"24",506,115
"25",522,120
"26",547,125
"27",573,130
"28",598,135
"29",623,140
"30",648,145
"31",673,150
"32",699,155
"33",724,160
"34",749,165
"35",774,170
"36",800,175
"37",835,180
"38",850,185
"39",875,190
"40",900,195
"41",926,200
"42",1026,220
"43",1077,230
"44",1127,240
"45",1178,250
