"","cal_yrBP","depth"
"1",100,14
"2",222.627737226277,35
"3",532.116788321168,88
"4",806.569343065693,135
"5",1116.05839416058,188
"6",1390.51094890511,235
"7",1700,288
"8",1900,335
"9",2218,388
"10",2260,395
"11",2500,435
"12",2830.31161473088,488
"13",3123.22946175637,535
"14",3466.00566572238,590
"15",3746.45892351275,635
"16",4076.77053824363,688
"17",4369.68838526912,735
"18",4700,788
"19",4923.80952380952,835
"20",5176.19047619048,888
"21",5400,935
"22",5600,988
"23",5781.93548387097,1035
"24",5990.96774193548,1089
"25",6316.12903225806,1173
"26",6753.54838709677,1286
"27",6800,1298
