"","Lycopodium counted","Charcoal counted","Lycopodium added ","volume (cc) ","Alchornea","Anacardiaceae undiff.","Anthocleista","Antidesma-type","Bridelia ferruginea-type","Celtis","Cussonia","Dombeya-type","Erythrococca-type","Eugenia-type","Ficus","Gnidia-type","Holoptelea grandis","Hymenocardia","Hymenodictyon-type","Hypericum","Ilex mitis","Isoberlinia-type","Ixora-type","Lophira","Macaranga-type","Mallotus-type oppositifolius","Margaritaria discoidea","Maytenus","Mitragyna-type inermis","Morelia senegalensis","Morus","Myrianthus-type","Myrica","Nuxia-type","Olea capensis-type","Podocarpus","Polyscias","Protea-type","Prunus","Pycnanthus","Rapanea","Rhus-type","Salix","Symphonia globulifera","Syzygium-type","Trichilia-type","Uapaca","Zanha","Zanha-1","Acacia","Allophylus","Clematis-type","Maesa","Periploca","Psydrax-type schimperiana","Rhamnaceae undiff.","Rutaceae undiff.","Sapindaceae undiff.","Sapotaceae undiff.","Schefflera","Zanthoxylum-type","Elaeis guineensis","Acalypha","Acanthaceae undiff.","Aizoaceae undiff.","Amaranthaceae/Chenopodiaceae undiff.","Apiaceae undiff.","Asteraceae undiff.","Chassalia","Cichorieae undiff.","Combretaceae/Melastomataceae undiff.","Croton-type","Euphorbiaceae undiff.","Euphorbia-type","Fabaceae undiff.","Hypoestes-type","Justicia-type","Monocotyledoneae undiff.","Rubiaceae undiff.","Solanum-type","Undetermined","Achyranthes-type aspera","Aerva-type lanata","Alchemilla","Alternanthera","Ascolepis","Centaurea-type","Commelina-type benghalensis","Corchorus-type","Cynoglossum-type","Echinops","Fumaria abyssinica-type","Lepidagathis","Mitracarpus villosus","Plantago","Poaceae undiff.","Ricinus communis","Cyperaceae undiff.","Laurembergia tetrandra","Nymphaea","Polygonum senegalense","Potamogeton","Typha","Cyathea-type","Monolètes à épines et non lisses autres","Monoletes undiff.","Polypodium-type polypodioides","Pteris-type","Triletes undiff.","Triletes undiff.-1","Pediastrum","Zygnema","Tetraedron","Anthocerotaceae","Spagnum"
"1","220.0","1085.0","37166.0","0.74","31.0","0","0","0","0","3.0","0","0","2.0","0","1.0","0","1.0","1.0","0","0","0","0","0","0","3.0","9.0","3.0","5.0","0","0","0","1.0","1.0","0","8.0","145.0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","1.0","0","0","0","0","0","1.0","3.0","0","0","5.0","0","0","0","2.0","1.0","0","2.0","0","0","7.0","0","0","0","2.0","0","0","0","0","0","1.0","0","0","1.0","0","127.0","1.0","775.0","0","4.0","11.0","0","0","1.0","0","334.0","0","5.0","0","0","0","1.0","0","2.0","0"
"2","201.0","710.0","37166.0","0.73","18.0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","9.0","1.0","15.0","0","1.0","0","0","0","0","2.0","132.0","0","0","0","0","0","0","0","0","2.0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","1.0","0","1.0","0","3.0","0","0","0","0","0","0","3.0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","155.0","0","845.0","6.0","2.0","13.0","0","0","0","0","156.0","0","0","15.0","0","0","0","0","0","0"
"3","216.0","958.0","37166.0","0.7","29.0","0","7.0","0","0","3.0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","3.0","4.0","1.0","10.0","0","4.0","0","0","0","0","3.0","104.0","0","0","0","0","0","0","0","0","0","1.0","0","1.0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","6.0","0","0","0","0","0","0","0","0","0","0","0","0","13.0","0","0","0","0","0","0","0","0","2.0","0","0","0","1.0","0","117.0","0","834.0","9.0","1.0","6.0","0","0","0","0","234.0","1.0","7.0","1.0","0","0","0","0","2.0","0"
"4","261.0","1409.0","37166.0","0.71","19.0","0","0","0","0","3.0","0","1.0","0","0","1.0","0","0","0","0","0","0","0","0","0","6.0","6.0","3.0","12.0","0","4.0","0","0","0","0","0","121.0","0","0","0","0","0","0","0","0","0","0","0","4.0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0","1.0","0","0","0","0","6.0","0","0","0","0","0","0","1.0","0","0","0","0","0","4.0","0","0","0","3.0","0","0","0","0","0","0","0","0","0","0","127.0","0","838.0","8.0","0","4.0","0","0","0","0","297.0","0","1.0","0","0","0","0","0","0","0"
"5","253.0","506.0","37166.0","0.68","7.0","0","2.0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","4.0","0","19.0","0","0","0","0","0","0","0","99.0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0","0","0","1.0","0","0","0","1.0","0","0","0","0","0","2.0","0","0","0","3.0","0","0","0","0","0","0","0","0","0","0","73.0","0","486.0","1.0","2.0","3.0","0","1.0","3.0","0","337.0","0","9.0","2.0","0","0","0","0","1.0","0"
"6","154.0","1242.0","37166.0","0.67","32.0","0","0","0","0","4.0","0","2.0","0","0","0","0","0","0","0","0","0","0","0","0","6.0","16.0","5.0","24.0","0","5.0","1.0","0","0","0","0","122.0","0","0","1.0","0","0","0","0","0","0","0","0","2.0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","11.0","0","0","0","0","0","0","4.0","0","1.0","0","0","0","12.0","0","0","0","2.0","0","0","0","0","0","0","0","0","1.0","0","183.0","0","756.0","9.0","3.0","5.0","0","0","0","0","326.0","0","2.0","8.0","0","0","0","0","0","0"
"7","120.0","424.0","37166.0","0.64","15.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","7.0","0","12.0","0","0","0","0","0","0","8.0","25.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","0","0","0","0","1.0","0","2.0","0","0","0","0","0","4.0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","77.0","0","553.0","4.0","2.0","4.0","0","0","0","0","20.0","0","4.0","0","0","0","0","0","2.0","0"
"8","299.0","2970.0","37166.0","0.63","39.0","0","0","0","0","5.0","0","0","0","0","1.0","0","1.0","0","0","0","0","0","1.0","0","5.0","7.0","1.0","26.0","2.0","7.0","0","0","0","0","0","35.0","0","0","0","2.0","0","0","0","0","0","0","0","5.0","1.0","0","0","0","0","1.0","0","0","0","0","0","0","2.0","0","0","0","0","0","0","6.0","0","0","0","0","0","0","1.0","0","0","0","1.0","0","5.0","0","0","2.0","4.0","0","0","0","0","0","0","0","0","0","0","231.0","0","1131.0","0","1.0","8.0","0","0","0","0","34.0","0","15.0","2.0","0","0","0","0","3.0","0"
"9","337.0","4078.0","37166.0","0.66","33.0","0","3.0","1.0","0","5.0","1.0","1.0","0","0","1.0","0","0","0","0","0","1.0","0","0","0","3.0","16.0","1.0","19.0","0","9.0","2.0","1.0","1.0","0","2.0","34.0","0","0","0","0","1.0","0","0","1.0","0","0","0","0","0","0","0","2.0","0","0","0","0","0","0","0","0","1.0","0","0","0","3.0","2.0","0","6.0","0","0","1.0","0","0","1.0","4.0","0","0","0","0","0","15.0","0","0","0","5.0","0","0","0","1.0","1.0","0","0","0","0","1.0","225.0","0","1348.0","0","0","5.0","0","0","1.0","0","29.0","0","9.0","8.0","0","0","0","0","5.0","0"
"10","259.0","2789.0","37166.0","0.69","21.0","1.0","1.0","0","0","7.0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","7.0","15.0","2.0","21.0","0","17.0","0","0","0","0","0","23.0","0","0","0","0","0","0","0","0","1.0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","0","0","0","0","1.0","0","5.0","0","1.0","0","0","0","0","2.0","2.0","1.0","0","0","0","8.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","238.0","0","1226.0","1.0","0","2.0","0","0","0","0","25.0","0","5.0","5.0","0","0","0","0","0","0"
