"","LON","LAT"
"OW4",9.996465,3.779141
"MBALA",13.73333333,7.316666667
"S2",11.86641,-4.7662
"CORAF2",11.85,-4.75
"CORAFT",11.850278,-4.74201
"KT3",12,-4.27
"SN2",12.8,-3.836111
"SN3",12.804167,-3.835556
"GAMA4",15.38333,-4.075
"GAMA2",15.383333,-4.075
"LH1",15.350278,-3.516667
"LH3",15.35116,-3.51385
"B-YANGA",16.52513,2.18726
"BAMBILI [BB-01]",10.240641,5.933689
"LOAME [FC 400]",17.4666964133709,3.833375907435
"MBAERE [FC 300]",16.9521056930514,3.97592193659073
"MBI",10.348549,6.089273
"MONOUN",10.581908,5.566042
"NIGERDC [2]",6.433333,4.55
"OSSA [1]",9.996465,3.77
"NYABESSAM",10.4,2.39
"BM [6]",9.4,4.67
"KAM [1]",11.77,-0.72
"NGUENE",10.47,-0.2
"MARIADOR",9.35,-0.17
"EKGkm7-2015",17.75,1.175
"EKGkm4",17.8,1.18
"CEN-17",17.6399,1.1835
"EKGkm9",17.7,1.1835
"ITGkm6",17.48,1.2
"MOPO BAI",16.26139,2.24056
"FC000",16.85623,3.6635
"ING100",18.281984,-1.972768
"ING800",18.320172,-1.774525
