all_14C,all_err,all_nme,cal_curve,region,geo
802,33,B-YANGA,intcal20,LWD-FOR,Shallow Basin
2834,42,B-YANGA,intcal20,LWD-FOR,Shallow Basin
4699,40,B-YANGA,intcal20,LWD-FOR,Shallow Basin
1125,30,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
1745,30,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
2170,30,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
2315,30,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
2485,30,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
3175,30,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
5515,30,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
7255,35,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
8160,45,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
10050,45,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
11560,50,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
12550,50,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
13180,60,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
14330,60,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
14150,60,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
15020,60,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
15840,70,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
16910,70,BAMBILI [BB-01],intcal20,ATL-FOR,Lake
345,37,LOAME [FC 400],intcal20,LWD-FOR,Swamp/Floodplain
270,40,MBAERE [FC 300],intcal20,LWD-FOR,Swamp/Floodplain
480,40,MBAERE [FC 300],intcal20,LWD-FOR,Swamp/Floodplain
1240,40,MBAERE [FC 300],intcal20,LWD-FOR,Swamp/Floodplain
780,30,MBI,intcal20,ATL-FOR,Lake
1795,30,MBI,intcal20,ATL-FOR,Lake
2580,30,MBI,intcal20,ATL-FOR,Lake
4290,30,MBI,intcal20,ATL-FOR,Lake
4690,30,MBI,intcal20,ATL-FOR,Lake
5125,30,MBI,intcal20,ATL-FOR,Lake
5180,40,MBI,intcal20,ATL-FOR,Lake
6550,40,MBI,intcal20,ATL-FOR,Lake
7375,40,MBI,intcal20,ATL-FOR,Lake
8015,30,MBI,intcal20,ATL-FOR,Lake
8915,45,MBI,intcal20,ATL-FOR,Lake
9485,40,MBI,intcal20,ATL-FOR,Lake
9895,40,MBI,intcal20,ATL-FOR,Lake
10200,40,MBI,intcal20,ATL-FOR,Lake
11800,45,MBI,intcal20,ATL-FOR,Lake
12605,45,MBI,intcal20,ATL-FOR,Lake
13080,50,MBI,intcal20,ATL-FOR,Lake
2380,70,MBOANDONG,intcal20,ATL-FOR,Lake
4520,90,MBOANDONG,intcal20,ATL-FOR,Lake
5930,110,MBOANDONG,intcal20,ATL-FOR,Lake
1090,30,MONOUN,intcal20,ATL-FOR,Lake
2175,30,MONOUN,intcal20,ATL-FOR,Lake
1225,30,MONOUN,intcal20,ATL-FOR,Lake
1170,30,MONOUN,intcal20,ATL-FOR,Lake
1955,30,MONOUN,intcal20,ATL-FOR,Lake
2815,30,MONOUN,intcal20,ATL-FOR,Lake
9495,50,MONOUN,intcal20,ATL-FOR,Lake
10930,50,MONOUN,intcal20,ATL-FOR,Lake
11120,70,MONOUN,intcal20,ATL-FOR,Lake
13590,80,MONOUN,intcal20,ATL-FOR,Lake
13880,80,MONOUN,intcal20,ATL-FOR,Lake
60,60,NIGERDC [2],intcal20,ATL-FOR,Estuarine
70,70,NIGERDC [2],intcal20,ATL-FOR,Estuarine
90,90,NIGERDC [2],intcal20,ATL-FOR,Estuarine
130,130,NIGERDC [2],intcal20,ATL-FOR,Estuarine
660,60,OSSA [1],intcal20,ATL-FOR,Lake
6000,130,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
2580,120,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
6810,230,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
2720,120,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
2580,120,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
2750,120,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
1490,110,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
6000,130,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
6810,230,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
10850,200,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
1340,130,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
2170,120,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
4490,140,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
2170,120,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
1340,130,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
4490,140,Bois de Bilanko,shcal20,BATEKE,Shallow Basin
4290,70,Lake Sinnda,shcal20,BATEKE,Lake
4940,80,Lake Sinnda,shcal20,BATEKE,Lake
650,80,Lake Sinnda,shcal20,BATEKE,Lake
5240,70,Lake Sinnda,shcal20,BATEKE,Lake
1230,50,Lake Sinnda,shcal20,BATEKE,Lake
3990,70,Lake Sinnda,shcal20,BATEKE,Lake
1760,50,Lake Sinnda,shcal20,BATEKE,Lake
400,40,Lake Sinnda,shcal20,BATEKE,Lake
4460,50,Lake Sinnda,shcal20,BATEKE,Lake
90,50,Lake Sinnda,shcal20,BATEKE,Lake
