Database,APD_no,N_siteID,NAME,CODE,LONG,LAT,ALT,CNTRY,PUB YEAR,Region,Publication_1,Publication_2
Neotoma,27167,27167,Songolo,SONGOLO,11.86641,-4.7662,NA,NA,,,,
APD Chron,103,NA,Songolo [S2],S2,11.85916667,-4.7585,5,Congo,2001,Atlantic Zone,,
APD Chron,75,27159,Coraf [CORAF 2],CORAF2,11.85028,-4.75,1,Congo,1992,Atlantic Zone,,
APD Chron,76,27159,Coraf [CORAF T],CORAFT,11.85,-4.74201,0,Congo,1992,Atlantic Zone,,
Neotoma,13,28406,Kitina Lake,KT3,12,-4.268666667,120,Congo,1996,Atlantic Zone,,
APD Chron,9,28301,Ngamakala Pound,GAMA2,15.38333333,-4.071666667,400,Congo,1992,Congo Basin,,
Neotoma,10,28301,Ngamakala Pound,GAMA4,15.38333333,-4.071166667,400,Congo,1992,Congo Basin,,
Neotoma,21,28227,Lake Sinnda,SN2,12.80417,-3.83556,128,Congo ,1998,Atlantic Zone,,
Neotoma,22,28227,Lake Sinnda,SN3,12.80417,-3.83556,128,Congo ,1998,Atlantic Zone,,
APD Chron,15,27149,Bois de Bilanko [LH1],LH1,15.35016667,-3.516666667,600,Congo,1992,Congo Basin,,
APD Chron,16,27149,Bois de Bilanko [LH3],LH3,15.35033333,-3.516666667,600,Congo,1992,Congo Basin,,
APD no Chron,17,27149,Bois de Bilanko [LS3],LS3,15.35116,-3.516666667,600,Congo,1990,Congo Basin,,
APD no Chron,222,NA,Kalwira,KALWIRA,28.756,-2.518666667,1920,Democratic Republic of Congo,1995,Congo Basin,,
APD Chron,226,NA,Mukukwe,MUKUKWE,28.55,-2.5,1470,Democratic Republic of Congo,1995,Congo Basin,,
APD Chron,87,NA,Musisi-Karashoma,MUSISI,28.65616667,-2.269333333,2200,Democratic Republic of Congo,1997,Congo Basin,,
Neither,,,Mpotomangé,ING100,18.281984,-1.972768,,RD Congo,,,,
Neither,,,Nkolé,ING800,18.320172,-1.774525,,RD Congo,,,,
APD manual,350,,Kamalete,KAM [1],11.77,-0.72,,Gabon,,,,
APD manual,20,,Nguené,NGUENE,10.47,-0.2,,Gabon,,,,
APD manual,5,,Mariador,MARIADOR,9.35,-0.17,,Gabon,,,,
Neither,,,Ekolongouma,CEN-17,17.6399,1.1835,,Congo,,,,
APD no Chron,465,NA,Lake Télé,TELE,17.16666667,1.333333333,350,Congo,1998,Congo Basin,,
APD Chron,90,NA,Matupi Cave [MAT-16 and MAT-23],MATUPI,30,1.5,1100,Democratic Republic of Congo,1990,Congo Basin,,
APD manual,370,,Goualougo Lake,GOUALOUGO,16.51,2.16,,Congo,,,,
APD manual,390,,Mopo Bai,MOPO BAI,"16.26139	",2.24056,,Congo,,,,
APD manual,156,,Nyabessam,NYABESSAM,10.4,2.39,,Cameroon,,,,
APD Chron,573,,Bodingué,FC000,"16.85623	",3.6635,,Central African Republic,,,,
APD Chron,242,NA,Lake Ossa I,OSSA1,10.01833333,3.775,8,Cameroon,1991,Atlantic Zone,,
APD Chron,19,28312,Lake Ossa [OW4],OW4,10.75,3.800833333,8,Cameroon,1995,Atlantic Zone,,
APD Chron,448,,Loamé,FC400,"17.4667	",3.83338,,Central African Republic,,,,
Neotoma,NA,29066,Mboadong,MBOADONG,9.2689,4.45,NA,NA,,,,
APD Chron,101,NA,Niger delta core (boring 22),NIGERDC2,6.433333333,4.55,0,Nigeria,1981,Atlantic Zone,,
APD manual,300,,Barombi Mbo,BM [6],9.4,4.67,,Cameroon,,,,
APD no Chron,473,NA,Shum Laka [W-10],SHUM,10.05,5.85,1355,Cameroun,1994,Atlantic Zone,,
Neotoma,NA,23662,Bambili 1,BAMBILI1,10.243308,5.934466,NA,Cameroon,,Atlantic Zone,,
APD Chron,,,Mbi Crater,MBI,10.34855,6.08927,,Cameroon,,,,
APD Chron,27,NA,Goho [GOHO.00],GOHO,2.574166667,6.439166667,35,Benin,2002,W. Africa,,
APD Chron,29,NA,Lac Nokoué [SOA.99],SOA-99,2.386166667,6.490333333,47,Benin,2002,W. Africa,,
APD Chron,1,NA,Yéviédié [YEV-1],YEV1,2.373666667,6.534333333,53,Benin,2002,W. Africa,,
APD Chron,26,NA,Dangbo [DO.00],DANGBO,2.5905,6.604166667,40,Benin,2002,W. Africa,,
APD no Chron,260,NA,Lake Sélé,LACSELE_APD,2.433333333,7.15,,Benin,2005,W. Africa,,
Neotoma,27428,NA,Tizong [T2],TIZONG,13.58333,7.25,NA,NA,,,,
Neotoma,NA,27416,Mbalang [M4],MBALA,13.73333,7.31667,NA,NA,,,,
APD Chron,23,27424,Lake Tilla,TILLA,12.12972,10.39066667,690,Nigeria,1999,Sahel,,
Neotoma,28247,NA,Kaigama,KAI,11.56889,13.25278,NA,NA,,,,
Neotoma,NA,27528,Bal Lake,BAL,10.94944,13.30694,NA,NA,NA,,,
Neotoma,27707,NA,Kajemarum Oasis,KAJ,11.03694,13.30833,NA,NA,,,,
Neotoma,28404,NA,Jikariya,JIKARIYA,11.077,13.31367,NA,NA,,,,
Neotoma,30333,NA,Tjéri,TJERI,16.5,13.73333,NA,NA,,,,
APD Chron,459,,Mbaéré,FC300,"16.95211	","3.97592	",,Central African Republic,,,,
