"","collectionunitid","handle","colldate","location","waterdepth","collunittype","collectiondevice","defaultchronology","collectionunitname","depositionalenvironment"
"1",38406,"JIKARIYA",1992-01-01,NA,1,NA,"Pit plus livingstone corer",37701,NA,"Natural Lake"
"2",39670,"MBOADONG",2021-01-01,NA,NA,NA,"Modified Livingstone mud sampler",38825,NA,"Volcanic Origin Lake"
"3",34289,"LH3",1987-08-12,"North of pond",NA,NA,"Russian Corer (5 cm)",33405,NA,"Mire"
"4",34287,"LS3",1988-01-01,"Western side of the site",NA,NA,"PVC (10 cm)",33404,NA,"Swamp"
"5",34247,"LH1",1988-01-01,"Center of the basin",NA,NA,"Belokupytov Sampler (10 cm)",33354,NA,"Swamp"
"6",38381,"SN2",1992-01-01,"Center of lake (water depth = 0.038m)",NA,NA,"Martin Flexor Vibracorer (10cm)",37674,NA,"Lacustrine"
"7",38156,"SN3",1992-01-01,"north of lake (water depth = 0.035m)",3.5,NA,"Flexor Vibrocorer (10cm)",37439,NA,"Lacustrine"
"8",28380,"BAMBILI1",2007-02-01,"north shore of lake",NA,NA,"Russian peat corer",24943,NA,"Explosion Crater Lake"
"9",38272,"OW4",1993-04-01,"Middle of the Lake",0.02,NA,"Martin &amp; Flexor Vibrocorer (10cm)",37580,NA,"Lacustrine"
"10",36012,"KAJ",1992-01-01,"Center of dry lake bed",NA,NA,"Livingstone Piston Corer (5cm)",35345,NA,"Playa"
"11",38260,"GAMA4",1988-08-03,"Center of the swamp",NA,NA,"Russian Sampler (5cm)",37559,NA,"Bog"
"12",38369,"GAMA2",1992-01-01,"Eastern of the pound",NA,NA,"Russian Corer (10cm)",37665,NA,"Mire"
"13",34437,"SONGOLO",1992-06-08,"Right bank of valley",NA,NA,"vibracorer (10 cm)",33574,NA,"Valley Mire"
"14",41328,"TJERI",NA,NA,NA,NA,NA,40351,NA,"Lacustrine"
"15",35359,"MBALA",1998-01-01,"Northern part of the lake",44,NA,"Compressed-air Mackereth corer",34665,NA,"Natural Lake"
"16",35492,"BAL",1993-01-01,"On the edge of lake (in shallow water) (water depth = 6,87m)",NA,NA,"Livingstone Piston Corer (5cm)",34817,NA,"Lacustrine"
"17",34337,"CORAF2",NA,NA,NA,NA,"PVC tube",33464,NA,"Coastal"
"18",34336,"CORAFT",NA,NA,NA,NA,"PVC tube with percussion",33462,NA,"Coastal"
"19",38408,"KT3",1992-06-12,"North side of the lake (water depth = 4m)",NA,NA,"Martin and Flexor sampler (10cm)",37703,NA,"Lacustrine"
"20",38184,"KAI",1995-04-06,"Center of lake",NA,NA,"modified Kullenberg Sampler (4cm)",37471,NA,"Playa"
"21",35372,"TIZONG",1998-01-01,NA,NA,NA,"Mackereth corer",34687,NA,"Natural Lake"
"22",35368,"TILLA",NA,NA,NA,NA,"Livingstone piston corer",34679,NA,"Tectonic Origin Lake"
